YEARMODA,TEMP,MAX,MIN,WDSP,MXSPD,PRCP
01/01/1990,79,84.6,74.7,2.9,5.8,0
01/02/1990,81.1,85.8,73.4,2.9,7.8,0
01/03/1990,80.4,85.1,75.6,4.9,11.7,0
01/04/1990,78.2,84.2,74.3,3.3,9.7,0
01/05/1990,79.7,86.4,73,3.9,9.7,0
01/06/1990,80,85.1,75.6,4.6,9.7,0
01/07/1990,80.1,86.2,75.2,3.6,7.8,0
01/08/1990,79.1,83.1,73.4,3.9,5.8,0
01/09/1990,80.6,84.2,74.3,2.7,3.9,0
01/10/1990,80.7,86,75.2,3.2,5.8,0
01/11/1990,84,89.2,76.3,8.4,19.4,0
01/12/1990,81.5,87.8,76.1,4.2,11.7,0
01/13/1990,80.6,86,76.3,4.2,7.8,0
01/14/1990,82.1,86.2,70.3,5.5,11.7,0
01/15/1990,81.1,86.9,76.3,4.4,9.7,0
01/16/1990,80,85.3,75,3.3,5.8,0
01/17/1990,79.1,82.8,75,3.1,7.8,0
01/18/1990,78.5,82.9,73.4,4.2,7.8,0
01/19/1990,77.5,82.8,71.4,5.1,9.7,0
01/20/1990,77.3,84.2,72.5,3.6,9.7,0
01/21/1990,78.8,86,73,3.2,5.8,0
01/22/1990,80.3,85.3,74.5,2.9,5.8,0
01/23/1990,80.9,85.6,75.2,3.9,7.8,0.12
01/24/1990,81.13333333,86.05,75.35,3.9,7.8,0.1
01/25/1990,81.36666667,86.5,75.5,3.9,7.8,0.08
01/26/1990,81.6,86.95,75.65,3.9,7.8,0.06
01/27/1990,81.83333333,87.4,75.8,3.9,7.8,0.04
01/28/1990,82.06666667,87.85,75.95,3.9,7.8,0.02
01/29/1990,82.3,88.3,76.1,3.9,7.8,0
01/30/1990,82.7,89.2,77,2.9,5.8,0
01/31/1990,82.5,86.5,76.8,2.9,5.8,0
02/01/1990,80.2,93.2,70.7,5.8,11.7,0
02/02/1990,82.4,87.8,78.8,7.5,15.5,0
02/03/1990,82.8,88.7,76.8,5.5,15.5,0
02/04/1990,82,87.1,75.2,3.9,7.8,0
02/05/1990,82.3,87.3,77,2.3,3.9,0
02/06/1990,82.8,89.6,77,3.4,7.8,0
02/07/1990,80.9,86.7,77,3.4,5.8,0
02/08/1990,81.13333333,87.66666667,76.26666667,4.333333333,9.033333333,0
02/09/1990,81.36666667,88.63333333,75.53333333,5.266666667,12.26666667,0
02/10/1990,81.6,89.6,74.8,6.2,15.5,0
02/11/1990,80,88,73,2.9,7.8,0
02/12/1990,81.5,89.2,72.5,5.8,13.6,0
02/13/1990,82,87.1,77,4.2,7.8,0
02/14/1990,79.6,88.2,73.6,5,11.7,0
02/15/1990,79,88.2,73.4,5.3,11.7,0
02/16/1990,80.9,88.7,72.5,7.3,23.3,0
02/17/1990,80,86.9,75.6,5,19.4,0
02/18/1990,82.2,89.2,75.2,5.8,11.7,0
02/19/1990,81.6,88.9,74.1,4.4,9.7,0
02/20/1990,80.9,86.2,76.1,5.8,19.4,0
02/21/1990,82,87.8,76.3,5.8,17.5,0
02/22/1990,82.1,89.2,74.3,7.3,15.5,0
02/23/1990,82.9,88.5,77.4,5.8,11.7,0
02/24/1990,82.2,91.4,75.2,4.1,13.6,0
02/25/1990,82.5,87.4,74.8,2.8,5.8,0
02/26/1990,82.4,88.2,77,4.4,7.8,0
02/27/1990,82.7,90.5,76.6,5.1,7.8,0
02/28/1990,83.5,91,77,3.6,5.8,0
03/01/1990,82.9,91,77,4.6,7.8,0
03/02/1990,82.2,88.5,76.6,8,23.3,0
03/03/1990,84.2,96.8,76.5,5.6,9.7,0
03/04/1990,83.3,89.2,77,4.6,7.8,0
03/05/1990,82.9,89.6,77,5.6,7.8,0
03/06/1990,81.8,88.5,76.6,3.2,5.8,0
